               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.04478,             0.03329,            0.015308,             0.80958,             0.38561,              0.4513,             0.26293,            0.049388,            0.031733,            0.025396,            0.007624,            0.007624,            0.007624
                  38,            0.044138,            0.032351,            0.016095,             0.71124,             0.41545,             0.47528,             0.28443,            0.049763,              0.0325,             0.02432,            0.007558,            0.007558,            0.007558
                  39,            0.043439,             0.03359,            0.015586,              0.7545,             0.37832,             0.47022,             0.28351,            0.050598,            0.033387,            0.026071,            0.007492,            0.007492,            0.007492
                  40,            0.043217,            0.033749,            0.014936,              0.5644,             0.45382,             0.46419,             0.24275,            0.049884,            0.031399,            0.024185,            0.007426,            0.007426,            0.007426
                  41,             0.04365,             0.03278,            0.015451,             0.76903,             0.37611,             0.47483,             0.28957,            0.049213,            0.032716,            0.025188,             0.00736,             0.00736,             0.00736
                  42,            0.042505,            0.031578,             0.01517,             0.73986,             0.41759,             0.50242,             0.29931,            0.048454,            0.032457,            0.024242,            0.007294,            0.007294,            0.007294
                  43,            0.042395,            0.031615,            0.014689,             0.77117,             0.39797,              0.4878,             0.28707,            0.048112,            0.032346,            0.024026,            0.007228,            0.007228,            0.007228
                  44,            0.042315,            0.032985,            0.014596,             0.78007,             0.42061,             0.50333,             0.29239,            0.049033,            0.031051,            0.023991,            0.007162,            0.007162,            0.007162
                  45,            0.042553,            0.032495,            0.014657,             0.55747,             0.49575,             0.51019,             0.29572,            0.048542,            0.031283,            0.023733,            0.007096,            0.007096,            0.007096
                  46,            0.041851,            0.031699,             0.01392,             0.55316,             0.47038,             0.50252,              0.3025,            0.048828,             0.03182,             0.02396,             0.00703,             0.00703,             0.00703
                  47,            0.040955,            0.031042,            0.014214,             0.83083,             0.38196,             0.48974,             0.28979,            0.049284,            0.031857,            0.023921,            0.006964,            0.006964,            0.006964
                  48,            0.041578,            0.030692,            0.014316,             0.76985,             0.39684,             0.48584,             0.28408,            0.049377,            0.031045,            0.022927,            0.006898,            0.006898,            0.006898
                  49,            0.041381,            0.030826,            0.014034,             0.57654,             0.50387,             0.49566,             0.29879,            0.048735,            0.032629,            0.023985,            0.006832,            0.006832,            0.006832
                  50,            0.041183,            0.032086,             0.01361,             0.56113,              0.4936,             0.48002,             0.28908,            0.048218,             0.03345,            0.022923,            0.006766,            0.006766,            0.006766
                  51,            0.040493,            0.032138,            0.013752,              0.7606,             0.41151,             0.49869,             0.28637,             0.04913,            0.033706,            0.023959,              0.0067,              0.0067,              0.0067
